;road_0_1_0 r r,road_1_0_1 g r,road_1_2_3 g r,road_2_1_2 r r,
-4.5 299.0 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 296.0 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 291.0 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 284.0 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 275.0 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 264.445 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 253.335 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 242.225 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 231.115 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 220.005 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 208.89499999999999 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 197.78500000000003 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
-4.5 186.675 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 175.565 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 164.455 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 153.34500000000004 -1.5707963267948966 flow_0_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 142.235 -1.5707963267948966 flow_0_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 131.125 -1.5707963267948966 flow_0_0 0 5.0 2.0,291.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 120.01499999999999 -1.5707963267948966 flow_0_0 0 5.0 2.0,284.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
